Time,Anchor1,Anchor2,Anchor3,Anchor4,Est_X,Est_Y
16:12:33,0.8,1.8,2.79,2.15,0.73,0.45
16:12:34,0.82,1.69,2.76,2.12,0.81,0.49
16:12:34,0.83,1.73,2.72,2.04,0.79,0.56
16:12:34,0.78,1.53,2.83,2.05,0.90,0.53
16:12:34,1.07,1.98,2.8,2.04,0.69,0.65
16:12:34,0.97,2.05,2.66,2.08,0.60,0.57
16:12:35,0.98,1.85,2.67,2.07,0.76,0.59
16:12:35,1.0,1.98,2.73,2.03,0.67,0.63
16:12:35,1.01,2.04,2.7,2.06,0.62,0.61
16:12:35,1.05,2.15,2.7,2.03,0.55,0.65
16:12:35,1.05,2.11,2.71,2.06,0.58,0.62
16:12:35,1.07,2.09,2.69,2.03,0.61,0.65
16:12:36,0.9,2.11,2.74,2.03,0.52,0.59
16:12:36,0.74,2.11,2.72,2.04,0.47,0.53
16:12:36,0.69,2.11,2.68,2.07,0.45,0.49
16:12:36,0.78,2.13,2.75,2.04,0.46,0.54
16:12:36,0.69,1.98,2.69,2.09,0.56,0.47
16:12:36,0.7,1.85,2.79,2.07,0.66,0.49
16:12:37,0.67,1.98,2.77,2.09,0.56,0.47
16:12:37,0.61,1.97,2.85,2.09,0.55,0.45
16:12:37,0.4,1.93,2.84,2.08,0.54,0.42
16:12:37,0.47,2.19,2.84,2.08,0.33,0.43
16:12:38,0.33,2.19,2.87,2.06,0.31,0.42
16:12:38,0.53,2.29,2.92,2.06,0.26,0.46
16:12:38,0.77,2.34,2.86,2.08,0.27,0.50
16:12:38,0.76,2.43,2.9,2.05,0.18,0.53
16:12:38,0.71,1.64,2.85,1.95,0.81,0.59
16:12:38,0.82,2.17,2.8,2.0,0.44,0.58
16:12:39,0.83,2.11,2.82,2.05,0.50,0.55
16:12:39,0.83,2.11,2.73,1.98,0.50,0.60
16:12:39,0.92,1.94,2.74,1.97,0.67,0.64
16:12:39,0.94,1.97,2.67,1.97,0.65,0.65
16:12:39,0.99,1.94,2.69,1.98,0.69,0.66
16:12:39,0.67,1.96,2.64,1.97,0.57,0.56
16:12:40,0.75,1.94,2.67,1.99,0.61,0.57
16:12:40,0.8,1.91,2.74,2.04,0.65,0.55
16:12:40,0.77,2.04,2.75,1.98,0.54,0.58
16:12:40,0.76,2.02,2.67,2.0,0.55,0.57
16:12:40,0.83,2.45,2.71,1.93,0.19,0.64
16:12:40,0.84,1.98,2.63,1.93,0.61,0.65
