Time,Anchor1,Anchor2,Anchor3,Anchor4,Est_X,Est_Y
02:42:32,1.65,1.24,0.42,1.58,1.69,1.53
02:42:32,1.63,1.16,0.42,1.55,1.70,1.53
02:42:32,1.62,1.14,0.50,1.55,1.71,1.54
02:42:32,1.62,1.13,0.59,1.56,1.71,1.53
02:42:33,1.63,1.13,0.67,1.55,1.72,1.54
02:42:33,1.64,1.15,0.75,1.56,1.72,1.54
02:42:33,1.64,1.15,0.76,1.56,1.72,1.54
02:42:33,1.64,1.15,0.78,1.57,1.72,1.54
02:42:33,1.64,1.15,0.74,1.57,1.72,1.54
02:42:34,1.65,1.15,0.70,1.58,1.72,1.54
02:42:34,1.65,1.15,0.66,1.58,1.73,1.54
02:42:34,1.66,1.18,0.68,1.58,1.73,1.54
02:42:34,1.67,1.18,0.70,1.58,1.73,1.54
02:42:34,1.66,1.16,0.73,1.58,1.73,1.54
02:42:34,1.67,1.22,0.79,1.59,1.73,1.54
02:42:35,1.67,1.21,0.80,1.59,1.73,1.54
02:42:35,1.67,1.20,0.83,1.59,1.73,1.54
02:42:35,1.66,1.19,0.84,1.59,1.73,1.54
02:42:35,1.67,1.18,0.85,1.60,1.73,1.54
02:42:35,1.66,1.17,0.85,1.60,1.73,1.54
02:42:35,1.67,1.17,0.85,1.59,1.73,1.54
02:42:36,1.67,1.16,0.85,1.60,1.73,1.54
02:42:36,1.66,1.16,0.88,1.60,1.73,1.54
02:42:36,1.66,1.16,0.87,1.60,1.73,1.54
02:42:36,1.67,1.15,0.84,1.60,1.73,1.54
02:42:36,1.66,1.14,0.87,1.60,1.73,1.54
02:42:37,1.67,1.15,0.88,1.60,1.74,1.54
02:42:37,1.68,1.15,0.90,1.60,1.74,1.54
02:42:37,1.68,1.15,0.90,1.60,1.74,1.54
02:42:37,1.68,1.15,0.92,1.60,1.74,1.54
02:42:37,1.67,1.16,0.92,1.60,1.74,1.54
02:42:37,1.67,1.15,0.93,1.60,1.74,1.54
02:42:38,1.67,1.16,0.94,1.60,1.74,1.54
02:42:38,1.67,1.15,0.94,1.60,1.74,1.54
02:42:38,1.67,1.15,0.95,1.59,1.74,1.54
02:42:38,1.67,1.17,0.96,1.59,1.74,1.54
02:42:38,1.66,1.16,0.96,1.60,1.74,1.54
02:42:39,1.66,1.16,0.96,1.60,1.74,1.54
02:42:39,1.66,1.18,0.97,1.60,1.74,1.54
02:42:39,1.66,1.17,0.97,1.59,1.74,1.54
02:42:39,1.65,1.15,0.97,1.59,1.74,1.54
02:42:39,1.65,1.15,0.97,1.59,1.74,1.54
02:42:39,1.65,1.15,0.98,1.59,1.74,1.54
02:42:40,1.65,1.21,0.98,1.59,1.73,1.53
02:42:40,1.65,1.19,1.00,1.60,1.73,1.53
02:42:40,1.65,1.18,1.01,1.59,1.73,1.53
02:42:40,1.66,1.16,1.01,1.59,1.73,1.53
02:42:40,1.66,1.15,1.02,1.58,1.73,1.54
02:42:40,1.65,1.19,1.04,1.58,1.73,1.54
02:42:41,1.65,1.17,1.05,1.58,1.73,1.54
02:42:41,1.65,1.16,1.06,1.58,1.73,1.54
02:42:41,1.65,1.16,1.08,1.59,1.73,1.54
02:42:41,1.64,1.17,1.08,1.59,1.73,1.53
02:42:41,1.64,1.16,1.07,1.59,1.73,1.53
02:42:42,1.65,1.17,1.06,1.59,1.73,1.53
02:42:42,1.64,1.16,1.05,1.59,1.73,1.53
02:42:42,1.64,1.14,1.04,1.59,1.73,1.53
02:42:42,1.64,1.14,1.04,1.59,1.73,1.53
02:42:42,1.64,1.14,1.04,1.59,1.73,1.53
02:42:42,1.64,1.14,1.03,1.59,1.73,1.53
02:42:43,1.64,1.13,1.03,1.59,1.73,1.53
02:42:43,1.64,1.14,1.03,1.59,1.73,1.53
02:42:43,1.63,1.14,1.03,1.59,1.73,1.53
02:42:43,1.64,1.17,1.03,1.60,1.73,1.53
02:42:43,1.63,1.16,1.03,1.60,1.73,1.53
02:42:44,1.63,1.16,1.03,1.60,1.73,1.53
02:42:44,1.64,1.16,1.03,1.60,1.73,1.52
02:42:44,1.64,1.15,1.03,1.60,1.73,1.52
02:42:44,1.64,1.15,1.03,1.61,1.73,1.52
02:42:44,1.65,1.13,1.03,1.60,1.73,1.52
02:42:44,1.65,1.13,1.03,1.60,1.73,1.52
02:42:45,1.65,1.13,1.03,1.60,1.73,1.52
02:42:45,1.65,1.12,1.03,1.60,1.73,1.52
02:42:45,1.65,1.12,1.02,1.60,1.73,1.52
02:42:45,1.65,1.11,1.02,1.60,1.74,1.52
02:42:45,1.65,1.11,1.02,1.60,1.74,1.52
02:42:46,1.65,1.11,1.02,1.61,1.74,1.52
02:42:46,1.64,1.10,1.02,1.60,1.74,1.52
02:42:46,1.64,1.10,1.02,1.60,1.74,1.52
02:42:46,1.65,1.11,1.03,1.60,1.74,1.52
02:42:46,1.65,1.11,1.02,1.59,1.74,1.53
02:42:46,1.65,1.17,1.02,1.59,1.74,1.53
02:42:47,1.64,1.16,1.02,1.59,1.74,1.53
02:42:47,1.64,1.15,1.02,1.59,1.74,1.53
02:42:47,1.64,1.15,1.02,1.59,1.74,1.53
02:42:47,1.64,1.14,1.02,1.59,1.73,1.53
02:42:47,1.64,1.14,1.02,1.59,1.73,1.53
02:42:47,1.64,1.13,1.02,1.60,1.73,1.52
02:42:48,1.64,1.13,1.02,1.59,1.73,1.52
02:42:48,1.64,1.12,1.02,1.59,1.73,1.52
02:42:48,1.63,1.12,1.02,1.60,1.74,1.52
02:42:48,1.64,1.13,1.01,1.60,1.73,1.52
02:42:48,1.64,1.14,1.01,1.60,1.73,1.52
02:42:49,1.64,1.20,1.02,1.60,1.73,1.52
02:42:49,1.64,1.19,1.03,1.61,1.73,1.52
02:42:49,1.64,1.18,1.03,1.60,1.73,1.52
02:42:49,1.65,1.17,1.03,1.61,1.73,1.52
02:42:49,1.65,1.16,1.03,1.61,1.73,1.52
02:42:49,1.65,1.14,1.03,1.60,1.73,1.52
02:42:50,1.65,1.14,1.03,1.61,1.73,1.52
02:42:50,1.66,1.13,1.03,1.61,1.73,1.52
02:42:50,1.66,1.14,1.02,1.61,1.73,1.52
