Time,Anchor1,Anchor2,Anchor3,Anchor4,Est_X,Est_Y
17:36:17,1.66,0.99,1.82,2.28,1.60,0.76
17:36:18,1.67,1.0,1.8,2.24,1.60,0.78
17:36:18,1.68,1.04,1.86,2.24,1.60,0.79
17:36:18,1.67,0.99,1.84,2.22,1.60,0.80
17:36:18,1.68,1.02,1.84,2.25,1.60,0.80
17:36:18,1.65,1.04,1.82,2.23,1.60,0.80
17:36:18,1.66,1.01,1.81,2.26,1.60,0.80
17:36:19,1.67,1.03,1.82,2.26,1.60,0.79
17:36:19,1.68,1.02,1.83,2.25,1.60,0.80
17:36:19,1.66,1.02,1.82,2.24,1.60,0.80
17:36:19,1.68,0.99,1.82,2.23,1.60,0.80
17:36:19,1.66,0.98,1.84,2.24,1.60,0.80
17:36:19,1.66,0.99,1.81,2.25,1.60,0.80
17:36:20,1.69,1.04,1.83,2.25,1.60,0.80
17:36:20,1.67,1.01,1.84,2.25,1.60,0.80
17:36:20,1.65,1.01,1.83,2.24,1.60,0.80
17:36:20,1.64,1.02,1.84,2.24,1.60,0.80
17:36:20,1.67,1.02,1.86,2.27,1.60,0.79
17:36:20,1.67,1.03,1.86,2.26,1.60,0.79
17:36:21,1.65,1.01,1.83,2.26,1.60,0.79
17:36:21,1.67,1.02,1.79,2.23,1.60,0.79
17:36:21,1.66,1.03,1.83,2.26,1.60,0.79
17:36:21,1.67,1.0,1.79,2.23,1.60,0.79
17:36:21,1.66,0.99,1.84,2.23,1.60,0.80
17:36:22,1.64,1.01,1.82,2.23,1.60,0.80
17:36:22,1.64,1.02,1.85,2.22,1.59,0.80
17:36:22,1.68,1.02,1.85,2.26,1.60,0.80
17:36:22,1.66,1.0,1.83,2.24,1.60,0.80
17:36:22,1.66,0.99,1.86,2.23,1.60,0.80
17:36:23,1.68,1.01,1.85,2.25,1.60,0.80
17:36:23,1.69,1.01,1.82,2.28,1.60,0.80
17:36:23,1.67,0.99,1.83,2.24,1.60,0.80
17:36:23,1.68,1.05,1.83,2.23,1.60,0.80
17:36:23,1.7,0.99,1.87,2.23,1.61,0.80
17:36:23,1.68,1.01,1.86,2.24,1.61,0.81
17:36:24,1.67,1.02,1.83,2.27,1.61,0.80
17:36:24,1.67,1.02,1.84,2.23,1.60,0.80
17:36:24,1.7,0.99,1.81,2.26,1.61,0.80
17:36:24,1.68,1.04,1.83,2.21,1.61,0.81
17:36:24,1.67,1.01,1.86,2.23,1.61,0.81
17:36:24,1.67,1.01,1.83,2.25,1.61,0.81
17:36:25,1.71,1.0,1.83,2.25,1.61,0.81
17:36:25,1.67,1.03,1.82,2.24,1.61,0.81
17:36:25,1.71,0.98,1.84,2.23,1.61,0.81
17:36:25,1.65,1.03,1.86,2.25,1.61,0.81
17:36:25,1.67,1.01,1.82,2.24,1.61,0.81
17:36:26,1.68,1.03,1.83,2.24,1.61,0.81
17:36:26,1.67,1.03,1.83,2.23,1.61,0.81
17:36:26,1.68,0.97,1.81,2.23,1.61,0.81
