Time,Anchor1,Anchor2,Anchor3,Anchor4
09:19:46,2.86,1.73,0.38,1.67
09:19:46,2.86,1.67,0.40,1.72
09:19:47,2.92,1.68,0.38,1.72
09:19:47,2.85,1.68,0.37,1.72
09:19:47,2.88,1.71,0.38,1.71
09:19:47,2.90,1.66,0.42,1.70
09:19:47,2.84,1.68,0.40,1.72
09:19:47,2.95,1.67,0.42,1.68
09:19:48,2.75,1.75,0.40,1.73
09:19:48,2.94,1.68,0.39,1.69
09:19:48,2.84,1.75,0.43,1.75
09:19:48,2.70,1.73,0.44,1.70
09:19:48,2.84,1.80,0.42,1.80
09:19:49,2.83,1.76,0.41,1.72
09:19:49,2.79,1.73,0.39,1.72
09:19:49,2.88,1.69,0.42,1.72
09:19:49,2.80,1.73,0.38,1.70
09:19:49,2.89,1.74,0.42,1.67
09:19:49,2.78,1.74,0.42,1.74
09:19:50,2.87,1.74,0.42,1.70
09:19:50,2.74,1.73,0.39,1.71
09:19:50,2.83,1.75,0.39,1.70
09:19:50,2.84,1.75,0.44,1.71
09:19:50,2.84,1.76,0.41,1.73
09:19:50,2.77,1.77,0.39,1.71
09:19:51,2.86,1.75,0.43,1.71
09:19:51,2.82,1.77,0.43,1.70
09:19:51,2.89,1.72,0.42,1.70
09:19:51,2.91,1.58,0.30,1.70
09:19:51,2.87,1.91,0.27,2.00
09:19:52,2.74,1.75,0.29,2.21
09:19:52,2.78,1.80,0.30,2.19
09:19:52,2.84,1.75,0.28,2.19
09:19:52,2.78,1.73,0.29,2.00
09:19:52,2.79,1.77,0.33,2.32
09:19:52,2.86,1.70,0.27,2.19
09:19:53,2.84,1.95,0.16,2.24
09:19:53,2.57,1.91,0.10,1.94
09:19:53,2.53,1.96,0.03,2.24
09:19:53,2.56,1.96,0.06,2.17
09:19:53,2.95,1.90,0.16,1.93
09:19:53,2.97,1.72,0.05,1.86
09:19:54,2.78,1.84,0.00,1.98
09:19:54,2.82,1.63,0.00,2.23
09:19:54,2.70,1.77,0.10,2.13
09:19:54,2.68,1.67,0.11,2.22
09:19:54,2.85,1.66,0.11,2.27
09:19:54,2.84,1.94,0.12,2.21
09:19:55,2.83,1.92,0.10,2.24
09:19:55,2.84,1.64,0.11,2.25
09:19:55,2.78,1.62,0.19,2.41
09:19:55,2.69,1.45,0.31,2.20
09:19:55,2.91,1.60,0.38,2.57
09:19:56,3.03,1.35,0.34,2.73
09:19:56,2.66,2.01,0.39,2.92
09:19:56,2.88,1.55,0.35,1.81
09:19:56,2.70,1.54,0.39,1.80
09:19:56,2.53,1.62,0.36,1.89
09:19:56,2.41,1.60,0.36,1.79
09:19:57,2.39,1.66,0.35,1.72
09:19:57,2.84,1.68,0.34,1.71
09:19:57,2.42,1.85,0.40,1.82
09:19:57,2.95,1.77,0.44,1.87
09:19:57,3.18,1.64,0.38,1.93
09:19:58,3.05,1.56,0.41,1.90
09:19:58,3.18,1.59,0.42,1.83
09:19:58,2.90,1.60,0.42,1.83
09:19:58,2.46,1.65,0.40,1.80
09:19:58,2.82,1.66,0.46,1.83
09:19:59,3.06,1.64,0.41,1.79
09:19:59,2.61,1.90,0.41,1.92
09:19:59,2.64,2.00,0.39,1.87
09:19:59,2.82,2.03,0.40,1.81
09:19:59,2.81,2.12,0.40,1.82
09:19:59,2.73,2.12,0.40,2.34
09:20:00,2.52,1.87,0.48,2.16
09:20:00,3.21,1.80,0.54,2.18
09:20:00,3.00,1.63,0.48,2.24
09:20:00,2.72,1.66,0.30,2.24
09:20:00,2.81,1.66,0.36,2.08
09:20:00,2.73,1.78,0.38,2.26
09:20:01,2.69,1.80,0.33,2.45
09:20:01,2.62,1.81,0.31,2.22
09:20:01,2.52,1.79,0.29,2.25
09:20:01,2.45,1.75,0.40,2.14
09:20:01,2.43,1.77,0.34,2.23
09:20:01,2.38,1.81,0.38,2.04
09:20:01,2.55,1.79,0.31,1.76
09:20:02,3.27,1.85,0.33,2.21
09:20:02,3.27,1.88,0.33,2.23
09:20:02,3.24,1.86,0.36,2.77
09:20:02,3.25,1.86,0.36,2.70
09:20:02,3.29,1.84,0.33,2.23
09:20:03,3.24,1.85,0.36,2.17
09:20:03,3.29,1.88,0.38,2.60
09:20:03,3.44,1.85,0.35,2.49
09:20:03,3.24,1.89,0.37,2.51
09:20:03,2.38,1.87,0.35,2.23
